pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,sjr_quartile
2-s2.0-85112367061,2021,2021 Jan,The Malaysian Perspective On Imposing Civil Liabilities In Road Accidents Involving Autonomous Vehicle,,Uum Journal of Legal Studies,,Article,Abdullah A.,"Universiti Kebangsaan Malaysia, Bangi, Malaysia",10.32890/UUMJLS2021.12.2.9,2-s2.0-85112367061,4,Q3,Q3
2-s2.0-85119590524,2021,2021 Jan,"AI, on the Law of the Elephant: Toward Understanding Artificial Intelligence",,Buffalo Law Review,,Article,de Siles E.L.,"Howard University, Washington, D.C., United States",,2-s2.0-85119590524,3,Q3,Q3
2-s2.0-85120567576,2021,2021 Jan,Automated justice and ITS limits: Irreplaceable human(E) dimensions of criminal justice,,Revue Internationale De Droit Penal,,Article,Peršak N.,"Institute for Criminal-Law Ethics and Criminology, Ljubljana, Slovenia",,2-s2.0-85120567576,1,Q3,Q3
2-s2.0-85100796102,2021,2021 Jan,Governance of artificial intelligence in the european union. The development of an unfinished legal-ethical framework,,Revista General De Derecho Administrativo,,Article,Hernández Peña J.C.,"Universidad de Navarra, Pamplona, Spain",,2-s2.0-85100796102,3,Q3,Q3
2-s2.0-85120570603,2021,2021 Jan,The challenges of ai for transnational criminal law: Jurisdiction and cooperation,,Revue Internationale De Droit Penal,,Article,Costa M.J.,"Universidade Católica Portuguesa, Lisbon, Portugal",,2-s2.0-85120570603,0,Q3,Q3
2-s2.0-85123632713,2021,2021 Jan,Teaching and learning law and artificial intelligence in Chile: On the minor in Artificial Intelligence and Law at the Universidad Autónoma de Chile,,Revista Pedagogia Universitaria Y Didactica Del Derecho,,Article,Vásquez P.C.,"Universidad Autónoma de Chile, Temuco, Chile",10.5354/0719-5885.2021.64456,2-s2.0-85123632713,9,Q3,Q3
2-s2.0-85110522763,2021,2021 Jan,Enhancing the value of patents as corporate assets in south africa: How can artificial intelligence (ai) assist? l ndlovu per / pelj 2021 (24),,Potchefstroom Electronic Law Journal,,Article,Ndlovu L.,"University of Venda, Thohoyandou, South Africa",10.17159/1727-3781/2021/V24I0A10736,2-s2.0-85110522763,1,Q3,Q3
2-s2.0-85120559645,2021,2021 Jan,Lombroso 2.0: On AI and predictions of dangerousness in criminal justice,,Revue Internationale De Droit Penal,,Article,Giannini A.,"Università degli Studi di Firenze, Florence, Italy",,2-s2.0-85120559645,2,Q3,Q3
2-s2.0-85106738276,2021,2021 Jan,"Justice in the digital age: Technological solutions, hidden threats and enticing opportunities",,Access to Justice in Eastern Europe,,Article,Yulia R.,"Yaroslav Mudryi National Law University, Kharkiv, Ukraine",10.33327/AJEE-18-4.2-A000061,2-s2.0-85106738276,13,Q3,Q3
2-s2.0-85128759743,2021,2021 Jan,"MACHINE LEARNING, MARKET MANIPULATION, AND COLLUSION ON CAPITAL MARKETS: WHY THE “BLACK BOX” MATTERS",,University of Pennsylvania Journal of International Law,,Article,Azzutti A.,"University of Oxford, Oxford, United Kingdom",,2-s2.0-85128759743,24,Q3,Q3
2-s2.0-85115966709,2021,2021 Jan,"Beyond the ""black box""",,Denver Law Review,,Review,TSCHIDER C.A.,"Loyola University Chicago, Chicago, United States",,2-s2.0-85115966709,15,Q3,Q3
2-s2.0-85168565522,2021,2021 Jan,Financial law in the era of artificial intelligence: key topics and themes,,Law and Financial Markets Review,,Article,Barrière F.,"Université Lumière Lyon 2, Lyon, France",10.1080/17521440.2023.2215480,2-s2.0-85168565522,4,Q3,Q3
